nome,casa,partido,eixo,escopo,valor_pct,n_observacoes,n_oportunidades,periodo_inicio,periodo_fim,metodologia_versao,url_perfil
"Osmar Terra","camara","PL","Coesão com o próprio partido","merito","63.8","447","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/osmar-terra/"
"Osmar Terra","camara","PL","Coesão com o próprio partido","procedimental","59.6","394","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/osmar-terra/"
"Paulo Pimenta","camara","PT","Alinhamento com o governo federal","merito","97.1","205","279","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/paulo-pimenta/"
"Paulo Pimenta","camara","PT","Alinhamento com o governo federal","procedimental","97.5","162","265","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/paulo-pimenta/"
"Paulo Pimenta","camara","PT","Coesão com o próprio partido","merito","98.0","251","279","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/paulo-pimenta/"
"Paulo Pimenta","camara","PT","Coesão com o próprio partido","procedimental","98.7","234","265","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/paulo-pimenta/"
"Pedro Westphalen","camara","PP","Alinhamento com o governo federal","merito","49.9","383","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pedro-westphalen/"
"Pedro Westphalen","camara","PP","Alinhamento com o governo federal","procedimental","42.2","327","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pedro-westphalen/"
"Pedro Westphalen","camara","PP","Coesão com o próprio partido","merito","70.0","493","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pedro-westphalen/"
"Pedro Westphalen","camara","PP","Coesão com o próprio partido","procedimental","64.0","428","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pedro-westphalen/"
"Pompeo de Mattos","camara","PDT","Alinhamento com o governo federal","merito","84.5","375","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pompeo-de-mattos/"
"Pompeo de Mattos","camara","PDT","Alinhamento com o governo federal","procedimental","85.0","334","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pompeo-de-mattos/"
"Pompeo de Mattos","camara","PDT","Coesão com o próprio partido","merito","89.4","463","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pompeo-de-mattos/"
"Pompeo de Mattos","camara","PDT","Coesão com o próprio partido","procedimental","90.7","443","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/pompeo-de-mattos/"
"Sanderson","camara","PL","Alinhamento com o governo federal","merito","29.7","391","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/sanderson/"
"Sanderson","camara","PL","Alinhamento com o governo federal","procedimental","15.6","326","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/sanderson/"
"Sanderson","camara","PL","Coesão com o próprio partido","merito","93.5","505","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/sanderson/"
"Sanderson","camara","PL","Coesão com o próprio partido","procedimental","89.8","432","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/sanderson/"
"Zucco","camara","PL","Alinhamento com o governo federal","merito","31.5","432","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/zucco/"
"Zucco","camara","PL","Alinhamento com o governo federal","procedimental","20.7","377","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/zucco/"
"Zucco","camara","PL","Coesão com o próprio partido","merito","82.8","551","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/zucco/"
"Zucco","camara","PL","Coesão com o próprio partido","procedimental","81.5","498","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/zucco/"
"Hamilton Mourão","senado","REPUBLICANOS","Coesão com o próprio partido","unico","85.7","105","117","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/senadores/hamilton-mourao/"
"Luis Carlos Heinze","senado","PP","Coesão com o próprio partido","unico","87.5","80","117","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/senadores/luis-carlos-heinze/"
"Paulo Paim","senado","PT","Coesão com o próprio partido","unico","93.5","107","117","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/senadores/paulo-paim/"
